"","q","user_id","party","response_1","response_2","response_3","truth","set","network","pair_id","experiment","remove_extreme"
"2300","Taxes",953,"Repub",15,14.7,14.4,14.6,"D","Control",1,1,NA
"2301","Election",680,"Dem",300,500,400,224.6,"D","Control",1,1,NA
"2302","California",311,"Dem",65,70,60,60.2,"D","Control",1,1,NA
"2303","Taxes",554,"Repub",50,60,30,14.6,"D","Control",1,1,NA
"2304","California",168,"Repub",74,77,52,60.2,"D","Control",1,1,NA
"2305","Election",154,"Dem",280,270,274,224.6,"D","Control",1,1,NA
"2306","Taxes",703,"Dem",NA,NA,NA,14.6,"D","Control",1,1,NA
"2307","Unemployment",680,"Dem",15,5,6,4.9,"D","Control",1,1,NA
"2308","Taxes",779,"Repub",40,40,40,14.6,"D","Control",1,1,NA
"2309","Unemployment",206,"Dem",4.7,4.7,4.7,4.9,"D","Control",1,1,NA
"2310","Election",1017,"Dem",1,NA,102,224.6,"D","Control",1,1,NA
"2311","California",152,"Dem",12,13,14,60.2,"D","Control",1,1,NA
"2312","Election",424,"Repub",185,212,196,224.6,"D","Control",1,1,NA
"2313","California",403,"Repub",NA,NA,NA,60.2,"D","Control",1,1,NA
"2314","California",874,"Repub",25,33,30,60.2,"D","Control",1,1,NA
"2315","Unemployment",554,"Repub",55,4,5,4.9,"D","Control",1,1,NA
"2316","California",485,"Dem",46,44,42,60.2,"D","Control",1,1,NA
"2317","Taxes",603,"Dem",20,25,22,14.6,"D","Control",1,1,NA
"2318","Unemployment",188,"Dem",8,12,16,4.9,"D","Control",1,1,NA
"2319","Taxes",168,"Repub",12,2,3,14.6,"D","Control",1,1,NA
"2320","Election",1103,"Repub",325,317,308,224.6,"D","Control",1,1,NA
"2321","California",876,"Dem",40,35,37,60.2,"D","Control",1,1,NA
"2322","California",1103,"Repub",27,29,28,60.2,"D","Control",1,1,NA
"2323","Election",418,"Repub",350,345,400,224.6,"D","Control",1,1,NA
"2324","California",1017,"Dem",32,30,31,60.2,"D","Control",1,1,NA
"2325","Unemployment",585,"Dem",6,5,5,4.9,"D","Control",1,1,NA
"2326","Unemployment",703,"Dem",NA,5,6,4.9,"D","Control",1,1,NA
"2327","California",206,"Dem",75,75,75,60.2,"D","Control",1,1,NA
"2328","Election",444,"Dem",3,5,7,224.6,"D","Control",1,1,NA
"2329","Election",148,"Repub",175,500,490,224.6,"D","Control",1,1,NA
"2330","Unemployment",539,"Dem",4,5,6,4.9,"D","Control",1,1,NA
"2331","Election",539,"Dem",150,75,80,224.6,"D","Control",1,1,NA
"2332","Election",779,"Repub",400,14,300,224.6,"D","Control",1,1,NA
"2333","Taxes",569,"Repub",23,21,20.5,14.6,"D","Control",1,1,NA
"2334","Unemployment",442,"Dem",4,6,6,4.9,"D","Control",1,1,NA
"2335","Taxes",154,"Dem",24,22,27,14.6,"D","Control",1,1,NA
"2336","Election",310,"Repub",225,215,195,224.6,"D","Control",1,1,NA
"2337","Taxes",401,"Repub",23.3,14.8,14.8,14.6,"D","Control",1,1,NA
"2338","Unemployment",462,"Dem",15,18,17,4.9,"D","Control",1,1,NA
"2339","Taxes",874,"Repub",60,35,20,14.6,"D","Control",1,1,NA
"2340","Unemployment",965,"Dem",30,18,14,4.9,"D","Control",1,1,NA
"2341","California",378,"Dem",30,25,40,60.2,"D","Control",1,1,NA
"2342","Election",378,"Dem",150,200,175,224.6,"D","Control",1,1,NA
"2343","Election",874,"Repub",150,275,250,224.6,"D","Control",1,1,NA
"2344","California",569,"Repub",59,65,72,60.2,"D","Control",1,1,NA
"2345","Election",1098,"Repub",NA,75,75,224.6,"D","Control",1,1,NA
"2346","Election",474,"Dem",75,75,75,224.6,"D","Control",1,1,NA
"2347","Taxes",71,"Dem",20,18,17,14.6,"D","Control",1,1,NA
"2348","California",71,"Dem",NA,40,38,60.2,"D","Control",1,1,NA
"2349","California",462,"Dem",60,55,45,60.2,"D","Control",1,1,NA
"2350","Unemployment",168,"Repub",75,12,15,4.9,"D","Control",1,1,NA
"2351","Taxes",585,"Dem",18,25,25,14.6,"D","Control",1,1,NA
"2352","California",703,"Dem",NA,NA,NA,60.2,"D","Control",1,1,NA
"2353","Taxes",378,"Dem",20,22,25,14.6,"D","Control",1,1,NA
"2354","California",1093,"Repub",45,58,23,60.2,"D","Control",1,1,NA
"2355","Unemployment",41,"Repub",9,5,6.5,4.9,"D","Control",1,1,NA
"2356","Taxes",311,"Dem",23,30,33,14.6,"D","Control",1,1,NA
"2357","California",474,"Dem",20,25,30,60.2,"D","Control",1,1,NA
"2358","Taxes",904,"Dem",20,40,50,14.6,"D","Control",1,1,NA
"2359","California",1097,"Repub",66,45,47,60.2,"D","Control",1,1,NA
"2360","California",987,"Repub",60,55,54,60.2,"D","Control",1,1,NA
"2361","California",480,"Repub",60,44,45,60.2,"D","Control",1,1,NA
"2362","Taxes",1098,"Repub",18,18.3,18.3,14.6,"D","Control",1,1,NA
"2363","Election",401,"Repub",269.9,124,179,224.6,"D","Control",1,1,NA
"2364","Unemployment",599,"Repub",30,20,30,4.9,"D","Control",1,1,NA
"2365","Election",554,"Repub",300,250,350,224.6,"D","Control",1,1,NA
"2366","California",418,"Repub",85,83,80,60.2,"D","Control",1,1,NA
"2367","Election",785,"Dem",200,150,250,224.6,"D","Control",1,1,NA
"2368","California",785,"Dem",50,40,60,60.2,"D","Control",1,1,NA
"2369","Unemployment",566,"Dem",6,5,5.5,4.9,"D","Control",1,1,NA
"2370","California",539,"Dem",45,38,40,60.2,"D","Control",1,1,NA
"2371","Election",188,"Dem",132,50,125,224.6,"D","Control",1,1,NA
"2372","California",442,"Dem",35,36,36,60.2,"D","Control",1,1,NA
"2373","Taxes",81,"Repub",39,40,39,14.6,"D","Control",1,1,NA
"2374","Unemployment",416,"Dem",10,3,15,4.9,"D","Control",1,1,NA
"2375","Election",71,"Dem",150,4.1,4.2,224.6,"D","Control",1,1,NA
"2376","California",585,"Dem",50,48,49,60.2,"D","Control",1,1,NA
"2377","Election",965,"Dem",110,127,162,224.6,"D","Control",1,1,NA
"2378","California",401,"Repub",13,34,12.3,60.2,"D","Control",1,1,NA
"2379","Taxes",913,"Repub",22,27,30,14.6,"D","Control",1,1,NA
"2380","Unemployment",953,"Repub",4.5,4.6,4.5,4.9,"D","Control",1,1,NA
"2381","California",953,"Repub",6,6.5,6.4,60.2,"D","Control",1,1,NA
"2382","Taxes",41,"Repub",23,24,21,14.6,"D","Control",1,1,NA
"2383","Unemployment",1017,"Dem",22,25,4.7,4.9,"D","Control",1,1,NA
"2384","Unemployment",620,"Dem",4,5,3,4.9,"D","Control",1,1,NA
"2385","Election",620,"Dem",220,210,190,224.6,"D","Control",1,1,NA
"2386","Taxes",934,"Repub",20.7,17.3,17.7,14.6,"D","Control",1,1,NA
"2387","Taxes",620,"Dem",17,19,18,14.6,"D","Control",1,1,NA
"2388","California",599,"Repub",45,45,45,60.2,"D","Control",1,1,NA
"2389","California",472,"Dem",43,64,57,60.2,"D","Control",1,1,NA
"2390","California",154,"Dem",45,40,42,60.2,"D","Control",1,1,NA
"2391","Taxes",1103,"Repub",11.6,10.9,9,14.6,"D","Control",1,1,NA
"2392","Unemployment",71,"Dem",4.7,5,5,4.9,"D","Control",1,1,NA
"2393","California",605,"Repub",47,47,60,60.2,"D","Control",1,1,NA
"2394","Taxes",472,"Dem",27,27,27,14.6,"D","Control",1,1,NA
"2395","Taxes",566,"Dem",20,22,22,14.6,"D","Control",1,1,NA
"2396","Unemployment",165,"Dem",7,6,6,4.9,"D","Control",1,1,NA
"2397","California",424,"Repub",46,41,58,60.2,"D","Control",1,1,NA
"2398","Taxes",599,"Repub",27,27,27,14.6,"D","Control",1,1,NA
"2399","Taxes",1093,"Repub",25.6,23,21,14.6,"D","Control",1,1,NA
"2400","California",579,"Dem",40,18,45,60.2,"D","Control",1,1,NA
"2401","Taxes",759,"Repub",14,14,14,14.6,"D","Control",1,1,NA
"2402","Unemployment",474,"Dem",7,7,7,4.9,"D","Control",1,1,NA
"2403","California",619,"Repub",65,62,67,60.2,"D","Control",1,1,NA
"2404","Unemployment",569,"Repub",7,6,5,4.9,"D","Control",1,1,NA
"2405","Election",58,"Dem",56,62,56,224.6,"D","Control",1,1,NA
"2406","Unemployment",795,"Dem",5.7,5.7,5.6,4.9,"D","Control",1,1,NA
"2407","Taxes",965,"Dem",22,24,20.5,14.6,"D","Control",1,1,NA
"2408","Unemployment",378,"Dem",5,6,4,4.9,"D","Control",1,1,NA
"2409","Taxes",480,"Repub",30,30,25,14.6,"D","Control",1,1,NA
"2410","Taxes",148,"Repub",18,39,42,14.6,"D","Control",1,1,NA
"2411","Unemployment",913,"Repub",7,6,5,4.9,"D","Control",1,1,NA
"2412","California",680,"Dem",25,30,35,60.2,"D","Control",1,1,NA
"2413","California",934,"Repub",42,38,41,60.2,"D","Control",1,1,NA
"2414","Unemployment",1098,"Repub",4.7,4.7,5,4.9,"D","Control",1,1,NA
"2415","California",310,"Repub",28,2,35,60.2,"D","Control",1,1,NA
"2416","Election",168,"Repub",302,20,435,224.6,"D","Control",1,1,NA
"2417","Taxes",310,"Repub",45,35.5,28.5,14.6,"D","Control",1,1,NA
"2418","California",554,"Repub",55,44,78,60.2,"D","Control",1,1,NA
"2419","Unemployment",1103,"Repub",6,7,5,4.9,"D","Control",1,1,NA
"2420","Taxes",474,"Dem",NA,30,30,14.6,"D","Control",1,1,NA
"2421","Unemployment",154,"Dem",4.6,4.8,5,4.9,"D","Control",1,1,NA
"2422","Election",831,"Dem",50,65,125,224.6,"D","Control",1,1,NA
"2423","Election",416,"Dem",280,290,210,224.6,"D","Control",1,1,NA
"2424","Election",442,"Dem",115,120,120,224.6,"D","Control",1,1,NA
"2425","California",603,"Dem",39,38,37,60.2,"D","Control",1,1,NA
"2426","Taxes",861,"Dem",15,34,33,14.6,"D","Control",1,1,NA
"2427","Unemployment",987,"Repub",5.3,4.7,4.4,4.9,"D","Control",1,1,NA
"2428","Taxes",567,"Repub",20.2,16.5,18.65,14.6,"D","Control",1,1,NA
"2429","Election",599,"Repub",300,217,217,224.6,"D","Control",1,1,NA
"2430","California",58,"Dem",85,86,83,60.2,"D","Control",1,1,NA
"2431","Taxes",539,"Dem",32,28,24,14.6,"D","Control",1,1,NA
"2432","California",753,"Repub",30,33,34,60.2,"D","Control",1,1,NA
"2433","Taxes",58,"Dem",8,28,28,14.6,"D","Control",1,1,NA
"2434","Taxes",785,"Dem",30,20,15,14.6,"D","Control",1,1,NA
"2435","Unemployment",480,"Repub",20,20,18,4.9,"D","Control",1,1,NA
"2436","California",904,"Dem",30,45,52,60.2,"D","Control",1,1,NA
"2437","California",81,"Repub",42,45,28,60.2,"D","Control",1,1,NA
"2438","Taxes",605,"Repub",21.5,23,13,14.6,"D","Control",1,1,NA
"2439","Election",462,"Dem",250.3,235,230,224.6,"D","Control",1,1,NA
"2440","Taxes",206,"Dem",25,25,25,14.6,"D","Control",1,1,NA
"2441","Unemployment",676,"Dem",4,7,6,4.9,"D","Control",1,1,NA
"2442","Unemployment",424,"Repub",7.2,5.4,6,4.9,"D","Control",1,1,NA
"2443","Unemployment",485,"Dem",3,4,4,4.9,"D","Control",1,1,NA
"2444","Taxes",424,"Repub",32,35,33,14.6,"D","Control",1,1,NA
"2445","California",831,"Dem",30,25,35,60.2,"D","Control",1,1,NA
"2446","California",566,"Dem",25,27,29,60.2,"D","Control",1,1,NA
"2447","Election",953,"Repub",34,33,34.5,224.6,"D","Control",1,1,NA
"2448","Election",605,"Repub",300,400,400,224.6,"D","Control",1,1,NA
"2449","California",148,"Repub",28,64,54,60.2,"D","Control",1,1,NA
"2450","California",638,"Dem",42,46,78,60.2,"D","Control",1,1,NA
"2451","Election",1097,"Repub",200,200,200,224.6,"D","Control",1,1,NA
"2452","Taxes",680,"Dem",30,35,40,14.6,"D","Control",1,1,NA
"2453","Unemployment",633,"Repub",15,15,15,4.9,"D","Control",1,1,NA
"2454","Unemployment",306,"Repub",4.6,4,4,4.9,"D","Control",1,1,NA
"2455","Unemployment",1097,"Repub",12,30,27,4.9,"D","Control",1,1,NA
"2456","California",416,"Dem",35,40,32,60.2,"D","Control",1,1,NA
"2457","Unemployment",934,"Repub",11,8,10,4.9,"D","Control",1,1,NA
"2458","Unemployment",876,"Dem",5,5.5,5,4.9,"D","Control",1,1,NA
"2459","Taxes",416,"Dem",20,15,30,14.6,"D","Control",1,1,NA
"2460","California",248,"Repub",34,46,23,60.2,"D","Control",1,1,NA
"2461","California",633,"Repub",50,51,51,60.2,"D","Control",1,1,NA
"2462","Unemployment",401,"Repub",4.6,5.79,4,4.9,"D","Control",1,1,NA
"2463","California",444,"Dem",35,38,38,60.2,"D","Control",1,1,NA
"2464","Unemployment",152,"Dem",8,7,6,4.9,"D","Control",1,1,NA
"2465","Election",861,"Dem",NA,200,9,224.6,"D","Control",1,1,NA
"2466","Unemployment",861,"Dem",5,4,5,4.9,"D","Control",1,1,NA
"2467","Taxes",2,"Dem",25,15,30,14.6,"D","Control",1,1,NA
"2468","California",620,"Dem",29,28,29,60.2,"D","Control",1,1,NA
"2469","Unemployment",874,"Repub",10,11,9,4.9,"D","Control",1,1,NA
"2470","Election",987,"Repub",300,300,299,224.6,"D","Control",1,1,NA
"2471","Taxes",485,"Dem",12,10,12,14.6,"D","Control",1,1,NA
"2472","Unemployment",603,"Dem",7,6,7,4.9,"D","Control",1,1,NA
"2473","Unemployment",260,"Repub",7,7,7,4.9,"D","Control",1,1,NA
"2474","Unemployment",310,"Repub",10,5,8,4.9,"D","Control",1,1,NA
"2475","Election",913,"Repub",435,510,515,224.6,"D","Control",1,1,NA
"2476","Election",796,"Repub",2,300,200,224.6,"D","Control",1,1,NA
"2477","Election",703,"Dem",NA,NA,NA,224.6,"D","Control",1,1,NA
"2478","Taxes",462,"Dem",18.4,19,20,14.6,"D","Control",1,1,NA
"2479","Election",1093,"Repub",240,250,300,224.6,"D","Control",1,1,NA
"2480","Election",759,"Repub",200,100,120,224.6,"D","Control",1,1,NA
"2481","Unemployment",311,"Dem",5,5,5,4.9,"D","Control",1,1,NA
"2482","Election",619,"Repub",190,220,290,224.6,"D","Control",1,1,NA
"2483","California",260,"Repub",29,31,32,60.2,"D","Control",1,1,NA
"2484","California",1098,"Repub",39,39,39,60.2,"D","Control",1,1,NA
"2485","Unemployment",2,"Dem",6,6.5,7,4.9,"D","Control",1,1,NA
"2486","Election",876,"Dem",225,275,300,224.6,"D","Control",1,1,NA
"2487","Taxes",987,"Repub",14,14.5,14.4,14.6,"D","Control",1,1,NA
"2488","Unemployment",753,"Repub",4,5,6,4.9,"D","Control",1,1,NA
"2489","Unemployment",248,"Repub",15,18,18,4.9,"D","Control",1,1,NA
"2490","Taxes",795,"Dem",NA,16,12,14.6,"D","Control",1,1,NA
"2491","Unemployment",785,"Dem",5,7,5,4.9,"D","Control",1,1,NA
"2492","Election",566,"Dem",200,200,200,224.6,"D","Control",1,1,NA
"2493","Taxes",306,"Repub",22.3,22,22,14.6,"D","Control",1,1,NA
"2494","Taxes",638,"Dem",24,24.5,24.2,14.6,"D","Control",1,1,NA
"2495","California",188,"Dem",47,49,41,60.2,"D","Control",1,1,NA
"2496","Taxes",1097,"Repub",35,40,40,14.6,"D","Control",1,1,NA
"2497","Taxes",418,"Repub",24,26,22,14.6,"D","Control",1,1,NA
"2498","Taxes",876,"Dem",25,30,35,14.6,"D","Control",1,1,NA
"2499","Taxes",579,"Dem",26,25,23,14.6,"D","Control",1,1,NA
"2500","Election",480,"Repub",300,325,250,224.6,"D","Control",1,1,NA
"2501","Unemployment",779,"Repub",4,4,4,4.9,"D","Control",1,1,NA
"2502","Taxes",912,"Repub",17,17.6,17,14.6,"D","Control",1,1,NA
"2503","Election",41,"Repub",245,200,199,224.6,"D","Control",1,1,NA
"2504","Taxes",633,"Repub",21.2,21.2,21.4,14.6,"D","Control",1,1,NA
"2505","Election",472,"Dem",187,186,187,224.6,"D","Control",1,1,NA
"2506","California",676,"Dem",20,15,10,60.2,"D","Control",1,1,NA
"2507","Election",569,"Repub",120,110,70,224.6,"D","Control",1,1,NA
"2508","Election",603,"Dem",275,285,280,224.6,"D","Control",1,1,NA
"2509","Unemployment",567,"Repub",18,3,4.35,4.9,"D","Control",1,1,NA
"2510","Taxes",796,"Repub",20,25,30,14.6,"D","Control",1,1,NA
"2511","Election",81,"Repub",9,9,9,224.6,"D","Control",1,1,NA
"2512","Unemployment",1093,"Repub",16,18,19,4.9,"D","Control",1,1,NA
"2513","Election",912,"Repub",274,271,271,224.6,"D","Control",1,1,NA
"2514","California",779,"Repub",40,NA,30,60.2,"D","Control",1,1,NA
"2515","Taxes",442,"Dem",24,25,24,14.6,"D","Control",1,1,NA
"2516","Election",795,"Dem",196,205,197,224.6,"D","Control",1,1,NA
"2517","Taxes",619,"Repub",15,8,5,14.6,"D","Control",1,1,NA
"2518","Election",165,"Dem",230,30,245,224.6,"D","Control",1,1,NA
"2519","Unemployment",418,"Repub",18,22,9,4.9,"D","Control",1,1,NA
"2520","Election",904,"Dem",200,250,280,224.6,"D","Control",1,1,NA
"2521","Election",676,"Dem",250,200,150,224.6,"D","Control",1,1,NA
"2522","Taxes",676,"Dem",25,20,35,14.6,"D","Control",1,1,NA
"2523","Unemployment",81,"Repub",4.7,4.7,4.7,4.9,"D","Control",1,1,NA
"2524","Election",206,"Dem",200,500,500,224.6,"D","Control",1,1,NA
"2525","Taxes",248,"Repub",22.5,22,22,14.6,"D","Control",1,1,NA
"2526","Election",248,"Repub",210.6,225.8,225.6,224.6,"D","Control",1,1,NA
"2527","Unemployment",904,"Dem",10,5,4.5,4.9,"D","Control",1,1,NA
"2528","California",912,"Repub",55,48,53,60.2,"D","Control",1,1,NA
"2529","Election",934,"Repub",219,257,293,224.6,"D","Control",1,1,NA
"2530","Taxes",188,"Dem",22,26,24,14.6,"D","Control",1,1,NA
"2531","Election",633,"Repub",275,275,275,224.6,"D","Control",1,1,NA
"2532","Unemployment",831,"Dem",7,8,8,4.9,"D","Control",1,1,NA
"2533","Election",638,"Dem",112,125,126,224.6,"D","Control",1,1,NA
"2534","California",913,"Repub",65,79,82,60.2,"D","Control",1,1,NA
"2535","Election",585,"Dem",240,200,140,224.6,"D","Control",1,1,NA
"2536","Election",306,"Repub",350,349.6,349,224.6,"D","Control",1,1,NA
"2537","Unemployment",605,"Repub",10,8,5.6,4.9,"D","Control",1,1,NA
"2538","Election",567,"Repub",50,150,150,224.6,"D","Control",1,1,NA
"2539","Unemployment",912,"Repub",7,6,6,4.9,"D","Control",1,1,NA
"2540","Election",403,"Repub",NA,NA,NA,224.6,"D","Control",1,1,NA
"2541","California",567,"Repub",70,60,65,60.2,"D","Control",1,1,NA
"2542","Unemployment",444,"Dem",5,6,5,4.9,"D","Control",1,1,NA
"2543","Taxes",152,"Dem",23,20,25,14.6,"D","Control",1,1,NA
"2544","California",861,"Dem",50,65,55,60.2,"D","Control",1,1,NA
"2545","Unemployment",796,"Repub",40,65,55,4.9,"D","Control",1,1,NA
"2546","California",759,"Repub",30,25,42,60.2,"D","Control",1,1,NA
"2547","California",796,"Repub",58,70,60,60.2,"D","Control",1,1,NA
"2548","Taxes",260,"Repub",22,23,23,14.6,"D","Control",1,1,NA
"2549","Election",579,"Dem",72,75,74,224.6,"D","Control",1,1,NA
"2550","Election",753,"Repub",275,274,270,224.6,"D","Control",1,1,NA
"2551","Taxes",165,"Dem",20,29,29,14.6,"D","Control",1,1,NA
"2552","Election",311,"Dem",300,75,75,224.6,"D","Control",1,1,NA
"2553","Taxes",444,"Dem",22,15,25,14.6,"D","Control",1,1,NA
"2554","Election",485,"Dem",285,300,285,224.6,"D","Control",1,1,NA
"2555","Unemployment",638,"Dem",6,5.8,6.2,4.9,"D","Control",1,1,NA
"2556","Unemployment",619,"Repub",5,6,4,4.9,"D","Control",1,1,NA
"2557","Election",2,"Dem",150,245,200,224.6,"D","Control",1,1,NA
"2558","Taxes",831,"Dem",15,25,23,14.6,"D","Control",1,1,NA
"2559","California",795,"Dem",65,52,42,60.2,"D","Control",1,1,NA
"2560","California",41,"Repub",60,65,49,60.2,"D","Control",1,1,NA
"2561","Unemployment",148,"Repub",5,7,6,4.9,"D","Control",1,1,NA
"2562","Unemployment",58,"Dem",3,4,4,4.9,"D","Control",1,1,NA
"2563","California",965,"Dem",63,52,55,60.2,"D","Control",1,1,NA
"2564","Taxes",753,"Repub",12,13,14,14.6,"D","Control",1,1,NA
"2565","California",165,"Dem",50,58,58,60.2,"D","Control",1,1,NA
"2566","California",2,"Dem",45,30,40,60.2,"D","Control",1,1,NA
"2567","Election",152,"Dem",240,215,220,224.6,"D","Control",1,1,NA
"2568","Unemployment",579,"Dem",4.7,5,6,4.9,"D","Control",1,1,NA
"2569","Unemployment",472,"Dem",4,4,4,4.9,"D","Control",1,1,NA
"2570","Unemployment",759,"Repub",15,4.7,4,4.9,"D","Control",1,1,NA
"2571","California",306,"Repub",56,86,82,60.2,"D","Control",1,1,NA
"2572","Election",260,"Repub",286,290,297,224.6,"D","Control",1,1,NA
"2573","Taxes",182,"Dem",13.6,14,14,14.6,"B","Social",1,1,NA
"2574","Unemployment",150,"Dem",7,4.8,4.7,4.9,"B","Social",1,1,NA
"2575","Election",153,"Dem",250,300,325,224.6,"B","Social",1,1,NA
"2576","Unemployment",182,"Dem",4.9,4.7,5,4.9,"B","Social",1,1,NA
"2577","Election",182,"Dem",227,227,227,224.6,"B","Social",1,1,NA
"2578","California",139,"Dem",26,51,42,60.2,"B","Social",1,1,NA
"2579","California",182,"Dem",40,42,42,60.2,"B","Social",1,1,NA
"2580","Election",129,"Dem",NA,210,221,224.6,"B","Social",1,1,NA
"2581","Unemployment",139,"Dem",5,7,7,4.9,"B","Social",1,1,NA
"2582","Taxes",146,"Dem",20,18,19,14.6,"B","Social",1,1,NA
"2583","Election",150,"Dem",259,300,227,224.6,"B","Social",1,1,NA
"2584","Taxes",186,"Dem",20,22,22,14.6,"B","Social",1,1,NA
"2585","Taxes",128,"Dem",15,35,35,14.6,"B","Social",1,1,NA
"2586","Election",139,"Dem",220,220,220,224.6,"B","Social",1,1,NA
"2587","California",128,"Dem",40,40,45,60.2,"B","Social",1,1,NA
"2588","Taxes",139,"Dem",22,22,22,14.6,"B","Social",1,1,NA
"2589","Unemployment",153,"Dem",NA,5,4.8,4.9,"B","Social",1,1,NA
"2590","Election",146,"Dem",198,199,199,224.6,"B","Social",1,1,NA
"2591","Election",126,"Dem",160,175,160,224.6,"B","Social",1,1,NA
"2592","Unemployment",194,"Dem",8,4,7,4.9,"B","Social",1,1,NA
"2593","California",194,"Dem",47,35,44,60.2,"B","Social",1,1,NA
"2594","Taxes",180,"Dem",26,18,19,14.6,"B","Social",1,1,NA
"2595","California",180,"Dem",30,24,23,60.2,"B","Social",1,1,NA
"2596","Taxes",144,"Dem",20,19,19,14.6,"B","Social",1,1,NA
"2597","Taxes",150,"Dem",25,NA,8.611,14.6,"B","Social",1,1,NA
"2598","Unemployment",180,"Dem",12,17,11,4.9,"B","Social",1,1,NA
"2599","California",162,"Dem",NA,20,27,60.2,"B","Social",1,1,NA
"2600","Unemployment",196,"Dem",4,5,5,4.9,"B","Social",1,1,NA
"2601","Taxes",163,"Dem",20,23,15,14.6,"B","Social",1,1,NA
"2602","Taxes",197,"Dem",12,12,13,14.6,"B","Social",1,1,NA
"2603","California",140,"Dem",12,35,37,60.2,"B","Social",1,1,NA
"2604","California",157,"Dem",45,45,40,60.2,"B","Social",1,1,NA
"2605","California",178,"Dem",40,40,38,60.2,"B","Social",1,1,NA
"2606","California",126,"Dem",27,35,33,60.2,"B","Social",1,1,NA
"2607","Unemployment",186,"Dem",25,20,4.6,4.9,"B","Social",1,1,NA
"2608","Taxes",198,"Dem",38.5,38,38.5,14.6,"B","Social",1,1,NA
"2609","Taxes",161,"Dem",22,13,8,14.6,"B","Social",1,1,NA
"2610","Election",134,"Dem",200,300,275,224.6,"B","Social",1,1,NA
"2611","California",150,"Dem",70,40,60.2,60.2,"B","Social",1,1,NA
"2612","Taxes",131,"Dem",23,22,20,14.6,"B","Social",1,1,NA
"2613","Taxes",162,"Dem",37.2,35,25,14.6,"B","Social",1,1,NA
"2614","Unemployment",132,"Dem",5,5,5,4.9,"B","Social",1,1,NA
"2615","Taxes",153,"Dem",10,15,12,14.6,"B","Social",1,1,NA
"2616","Taxes",129,"Dem",12,19,17,14.6,"B","Social",1,1,NA
"2617","Taxes",200,"Dem",20,25,25,14.6,"B","Social",1,1,NA
"2618","Election",181,"Dem",180,235,234,224.6,"B","Social",1,1,NA
"2619","Election",130,"Dem",300,270,320,224.6,"B","Social",1,1,NA
"2620","Election",140,"Dem",85,188,200,224.6,"B","Social",1,1,NA
"2621","Taxes",140,"Dem",20,15,16,14.6,"B","Social",1,1,NA
"2622","Unemployment",198,"Dem",66,NA,5,4.9,"B","Social",1,1,NA
"2623","California",137,"Dem",35,33,36,60.2,"B","Social",1,1,NA
"2624","California",134,"Dem",7,53,52,60.2,"B","Social",1,1,NA
"2625","California",131,"Dem",40,45,60,60.2,"B","Social",1,1,NA
"2626","California",141,"Dem",5,35,40,60.2,"B","Social",1,1,NA
"2627","Election",180,"Dem",250,230,196,224.6,"B","Social",1,1,NA
"2628","Unemployment",162,"Dem",7.3,4.9,4.7,4.9,"B","Social",1,1,NA
"2629","Taxes",142,"Dem",6,15,15,14.6,"B","Social",1,1,NA
"2630","California",181,"Dem",24,27,26,60.2,"B","Social",1,1,NA
"2631","Election",142,"Dem",125,130,145,224.6,"B","Social",1,1,NA
"2632","Election",197,"Dem",250,245,229,224.6,"B","Social",1,1,NA
"2633","Election",194,"Dem",16,144,160,224.6,"B","Social",1,1,NA
"2634","Taxes",157,"Dem",16,17,17,14.6,"B","Social",1,1,NA
"2635","California",161,"Dem",20,40,45,60.2,"B","Social",1,1,NA
"2636","California",186,"Dem",40,45,47,60.2,"B","Social",1,1,NA
"2637","Unemployment",137,"Dem",5,5,4.7,4.9,"B","Social",1,1,NA
"2638","California",144,"Dem",38,28,28,60.2,"B","Social",1,1,NA
"2639","Election",144,"Dem",212,NA,219,224.6,"B","Social",1,1,NA
"2640","Taxes",141,"Dem",15,12,13,14.6,"B","Social",1,1,NA
"2641","Election",196,"Dem",230,227,227,224.6,"B","Social",1,1,NA
"2642","Election",193,"Dem",115,134,149,224.6,"B","Social",1,1,NA
"2643","Taxes",132,"Dem",10,12,12,14.6,"B","Social",1,1,NA
"2644","California",146,"Dem",30,70,71,60.2,"B","Social",1,1,NA
"2645","California",200,"Dem",50,50,50,60.2,"B","Social",1,1,NA
"2646","California",129,"Dem",39,39,39,60.2,"B","Social",1,1,NA
"2647","Unemployment",146,"Dem",4.6,5,5,4.9,"B","Social",1,1,NA
"2648","Election",186,"Dem",200,200,205,224.6,"B","Social",1,1,NA
"2649","Unemployment",126,"Dem",8,6,7,4.9,"B","Social",1,1,NA
"2650","California",198,"Dem",30,58,36,60.2,"B","Social",1,1,NA
"2651","Unemployment",161,"Dem",5,5,5,4.9,"B","Social",1,1,NA
"2652","California",155,"Dem",63,44,53,60.2,"B","Social",1,1,NA
"2653","Unemployment",144,"Dem",3,4.1,4.1,4.9,"B","Social",1,1,NA
"2654","Taxes",155,"Dem",10,NA,7,14.6,"B","Social",1,1,NA
"2655","California",132,"Dem",45,21,21,60.2,"B","Social",1,1,NA
"2656","Unemployment",128,"Dem",4.9,5,5,4.9,"B","Social",1,1,NA
"2657","California",193,"Dem",53,53,53,60.2,"B","Social",1,1,NA
"2658","California",153,"Dem",30,50,60,60.2,"B","Social",1,1,NA
"2659","Election",132,"Dem",200,200,225,224.6,"B","Social",1,1,NA
